id,rating,product_id,description
1,2,15,Chia 90's activated charcoal shabby chic twee seitan marfa vinyl tilde chambray yr cornhole street art pickled.
2,1,15,"Shoreditch migas cray knausgaard 90's, iPhone humblebrag pour-over single-origin coffee direct trade lomo tbh."
3,5,15,Migas marfa iPhone prism four dollar toast truffaut man bun messenger bag pug pop-up.
4,1,11,Flannel cardigan microdosing coloring book succulents waistcoat cornhole ethical pork belly yr messenger bag bicycle rights.
5,4,2,Artisan brooklyn plaid woke yuccie flannel truffaut copper mug irony leggings.
6,1,2,"Shoreditch migas cray knausgaard 90's, iPhone humblebrag pour-over single-origin coffee direct trade lomo tbh."
7,4,6,"Swag hashtag edison bulb single-origin coffee XOXO 90's scenester master cleanse, man bun semiotics."
8,5,13,Migas marfa iPhone prism four dollar toast truffaut man bun messenger bag pug pop-up.
9,2,18,"Food truck trust fund street art snackwave gastropub, mlkshk helvetica pok pok meh truffaut cronut"
10,5,23,Taiyaki jianbing chicharrones la croix prism fixie iPhone vegan asymmetrical shaman shabby chic squid everyday carry fam.
11,3,16,"DIY yuccie brunch, hella tilde woke kombucha blog gentrify pour-over. "
12,3,6,"Raclette marfa semiotics, put a bird on it organic cardigan polaroid waistcoat palo santo church-key venmo."
13,3,3,Chia 90's activated charcoal shabby chic twee seitan marfa vinyl tilde chambray yr cornhole street art pickled.
14,5,12,Chia 90's activated charcoal shabby chic twee seitan marfa vinyl tilde chambray yr cornhole street art pickled.
15,1,9,Flannel cardigan microdosing coloring book succulents waistcoat cornhole ethical pork belly yr messenger bag bicycle rights.
16,3,12,Flannel cardigan microdosing coloring book succulents waistcoat cornhole ethical pork belly yr messenger bag bicycle rights.
17,2,22,Artisan brooklyn plaid woke yuccie flannel truffaut copper mug irony leggings.
18,2,24,"Shoreditch migas cray knausgaard 90's, iPhone humblebrag pour-over single-origin coffee direct trade lomo tbh."
19,4,13,"Swag hashtag edison bulb single-origin coffee XOXO 90's scenester master cleanse, man bun semiotics. "
20,3,13,Migas marfa iPhone prism four dollar toast truffaut man bun messenger bag pug pop-up.
