rating,product_id,nickname,description
2,15,,Chia 90's activated charcoal shabby chic twee seitan marfa vinyl tilde chambray yr cornhole street art pickled.
1,15,,"Shoreditch migas cray knausgaard 90's, iPhone humblebrag pour-over single-origin coffee direct trade lomo tbh."
5,15,,Migas marfa iPhone prism four dollar toast truffaut man bun messenger bag pug pop-up.
1,11,,Flannel cardigan microdosing coloring book succulents waistcoat cornhole ethical pork belly yr messenger bag bicycle rights.
4,2,,Artisan brooklyn plaid woke yuccie flannel truffaut copper mug irony leggings.
1,2,,"Shoreditch migas cray knausgaard 90's, iPhone humblebrag pour-over single-origin coffee direct trade lomo tbh."
4,6,,"Swag hashtag edison bulb single-origin coffee XOXO 90's scenester master cleanse, man bun semiotics."
5,13,,Migas marfa iPhone prism four dollar toast truffaut man bun messenger bag pug pop-up.
2,18,,"Food truck trust fund street art snackwave gastropub, mlkshk helvetica pok pok meh truffaut cronut"
5,23,,Taiyaki jianbing chicharrones la croix prism fixie iPhone vegan asymmetrical shaman shabby chic squid everyday carry fam.
3,16,,"DIY yuccie brunch, hella tilde woke kombucha blog gentrify pour-over. "
3,6,,"Raclette marfa semiotics, put a bird on it organic cardigan polaroid waistcoat palo santo church-key venmo."
3,3,,Chia 90's activated charcoal shabby chic twee seitan marfa vinyl tilde chambray yr cornhole street art pickled.
5,12,,Chia 90's activated charcoal shabby chic twee seitan marfa vinyl tilde chambray yr cornhole street art pickled.
1,9,,Flannel cardigan microdosing coloring book succulents waistcoat cornhole ethical pork belly yr messenger bag bicycle rights.
3,12,,Flannel cardigan microdosing coloring book succulents waistcoat cornhole ethical pork belly yr messenger bag bicycle rights.
2,22,,Artisan brooklyn plaid woke yuccie flannel truffaut copper mug irony leggings.
2,24,,"Shoreditch migas cray knausgaard 90's, iPhone humblebrag pour-over single-origin coffee direct trade lomo tbh."
4,13,,"Swag hashtag edison bulb single-origin coffee XOXO 90's scenester master cleanse, man bun semiotics. "
3,13,,Migas marfa iPhone prism four dollar toast truffaut man bun messenger bag pug pop-up.
5,16,,"Food truck trust fund street art snackwave gastropub, mlkshk helvetica pok pok meh truffaut cronut"
1,13,,Taiyaki jianbing chicharrones la croix prism fixie iPhone vegan asymmetrical shaman shabby chic squid everyday carry fam.
3,10,,"DIY yuccie brunch, hella tilde woke kombucha blog gentrify pour-over. "
5,29,,"Raclette marfa semiotics, put a bird on it organic cardigan polaroid waistcoat palo santo church-key venmo."
4,29,,Chia 90's activated charcoal shabby chic twee seitan marfa vinyl tilde chambray yr cornhole street art pickled.
2,11,,"Church-key chia meh tumblr franzen taiyaki unicorn Creep cold graves, shadow non fear a,"
4,1,,"Beard affogato pork belly mlkshk franzen. children virus nibh, in zombies brains unknown ghost creepy. "
2,8,,Flannel cardigan microdosing coloring book succulents waistcoat cornhole ethical pork belly yr messenger bag bicycle rights.
